,Model,Year,Fuel Type,City MPG,Highway MPG,Combined MPG,Annual Fuel Cost,Annual Consumption (Barrels),Highway Electricity Consumption,City Electricity Consumption,Combined Electricity Consumption,Vehicle Class,YouSaveOrSpend,AlternativeVehicleType
1476,Bmw 528I Sport Wagon,2000,Premium,16.0,24.0,19.0,3550.0,15.6584,0.0,0.0,0.0,Small Station Wagons,-8250.0,
1545,Bmw 540I,2000,Premium,14.67,20.67,16.67,4083.33,17.9057,0.0,0.0,0.0,Compact Cars,-10916.67,
1553,Bmw 540I Sport Wagon,2000,Premium,14.0,19.0,16.0,4250.0,18.5944,0.0,0.0,0.0,Small Station Wagons,-11750.0,
1704,Bmw 740I/740I Sport,2000,Premium,14.5,20.5,17.0,4000.0,17.5614,0.0,0.0,0.0,Midsize Cars,-10500.0,
1706,Bmw 740Il/740Il Protection,2000,Premium,15.0,22.0,18.0,3750.0,16.5283,0.0,0.0,0.0,Large Cars,-9250.0,
1751,Bmw 750Il/750Il Protection,2000,Premium,12.0,18.0,14.0,4850.0,21.2507,0.0,0.0,0.0,Large Cars,-14750.0,
1917,Bmw M Coupe,2000,Premium,17.0,23.0,19.0,3550.0,15.6584,0.0,0.0,0.0,Two Seaters,-8250.0,
1919,Bmw M Roadster,2000,Premium,17.0,23.0,19.0,3550.0,15.6584,0.0,0.0,0.0,Minicompact Cars,-8250.0,
2055,Bmw M5,2000,Premium,12.0,19.0,15.0,4500.0,19.834,0.0,0.0,0.0,Compact Cars,-13000.0,
2277,Bmw X5,2000,Premium,12.0,16.0,14.0,4850.0,21.2507,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-14750.0,
2403,Bmw Z3 Coupe,2000,Premium,17.0,24.0,19.0,3550.0,15.6584,0.0,0.0,0.0,Two Seaters,-8250.0,
2406,Bmw Z3 Roadster,2000,Premium,17.0,24.25,19.25,3512.5,15.4627,0.0,0.0,0.0,Two Seaters,-8062.5,
2460,Bmw Z8,2000,Premium,12.0,19.0,15.0,4500.0,19.834,0.0,0.0,0.0,Two Seaters,-13000.0,
2489,Buick Century,2000,Regular,18.0,27.0,21.0,2550.0,14.1671,0.0,0.0,0.0,Midsize Cars,-3250.0,
2600,Buick Lesabre,2000,Regular,17.0,27.0,20.0,2700.0,14.8755,0.0,0.0,0.0,Large Cars,-4000.0,
2612,Buick Park Avenue,2000,Regular,16.5,26.0,19.5,3125.0,15.267,0.0,0.0,0.0,Large Cars,-6125.0,
2626,Buick Regal,2000,Regular,16.5,26.0,20.0,3050.0,14.9128,0.0,0.0,0.0,Midsize Cars,-5750.0,
2703,Cadillac Catera,2000,Premium,16.0,23.0,18.0,3750.0,16.5283,0.0,0.0,0.0,Midsize Cars,-9250.0,
2806,Cadillac Deville,2000,Premium,15.0,25.0,19.0,3550.0,15.6584,0.0,0.0,0.0,Large Cars,-8250.0,
2818,Cadillac Eldorado,2000,Premium,15.0,25.0,19.0,3550.0,15.6584,0.0,0.0,0.0,Midsize Cars,-8250.0,
2843,Cadillac Escalade 4Wd,2000,Regular,11.0,15.0,13.0,4150.0,22.8854,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-11250.0,
2915,Cadillac Seville,2000,Premium,15.0,25.0,19.0,3550.0,15.6584,0.0,0.0,0.0,Midsize Cars,-8250.0,
3056,Chevrolet Astro 2Wd (Cargo),2000,Regular,15.0,20.0,17.0,3150.0,17.5006,0.0,0.0,0.0,"Vans, Cargo Type",-6250.0,
3065,Chevrolet Astro 2Wd (Passenger),2000,Regular,15.0,19.0,16.0,3350.0,18.5944,0.0,0.0,0.0,"Vans, Passenger Type",-7250.0,
3071,Chevrolet Astro Awd (Cargo),2000,Regular,14.0,18.0,16.0,3350.0,18.5944,0.0,0.0,0.0,"Vans, Cargo Type",-7250.0,
3080,Chevrolet Astro Awd (Passenger),2000,Regular,13.0,18.0,15.0,3600.0,19.834,0.0,0.0,0.0,"Vans, Passenger Type",-8500.0,
3124,Chevrolet Blazer 2Wd,2000,Regular,15.0,20.5,17.5,3075.0,17.0145,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-5875.0,
3130,Chevrolet Blazer 4Wd,2000,Regular,13.5,17.0,15.5,3475.0,19.2142,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-7875.0,
3157,Chevrolet Camaro,2000,Regular,16.25,25.5,19.5,3137.5,15.3073,0.0,0.0,0.0,Subcompact Cars,-6187.5,
3182,Chevrolet Cavalier,2000,Regular,20.0,28.8,23.2,2330.0,12.8372,0.0,0.0,0.0,Subcompact Cars,-2150.0,
3188,Chevrolet Cavalier (Bi-Fuel Cng),2000,Gasoline or natural gas,20.0,25.0,22.0,2450.0,13.5232,0.0,0.0,0.0,Subcompact Cars,-2750.0,Bifuel (CNG)
3292,Chevrolet Corvette,2000,Premium,15.5,24.0,18.5,3650.0,16.0934,0.0,0.0,0.0,Two Seaters,-8750.0,
3430,Chevrolet Express 1500/2500 2Wd,2000,Regular,12.67,16.33,14.0,3850.0,21.2507,0.0,0.0,0.0,"Vans, Passenger Type",-9750.0,
3477,Chevrolet Impala,2000,Regular,17.0,27.67,21.0,2550.0,14.1671,0.0,0.0,0.0,Large Cars,-3250.0,
3508,Chevrolet Lumina/Monte Carlo,2000,Regular,17.33,27.67,21.0,2550.0,14.1671,0.0,0.0,0.0,Midsize Cars,-3250.0,
3509,Chevrolet Malibu,2000,Regular,18.5,27.5,22.0,2450.0,13.5512,0.0,0.0,0.0,Midsize Cars,-2750.0,
3538,Chevrolet Metro,2000,Regular,29.67,36.67,32.67,1666.67,9.2133,0.0,0.0,0.0,Subcompact Cars,1166.67,
3557,Chevrolet Prizm,2000,Regular,25.33,32.33,28.0,1916.67,10.6617,0.0,0.0,0.0,Compact Cars,-83.33,
3560,Chevrolet S10 Pickup 2Wd,2000,Regular,17.33,23.17,19.67,2775.0,15.3007,0.0,0.0,0.0,Small Pickup Trucks 2WD,-4375.0,
3566,Chevrolet S10 Pickup 4Wd,2000,Regular,14.5,19.5,16.5,3250.0,18.0475,0.0,0.0,0.0,Standard Pickup Trucks 4WD,-6750.0,
3571,Chevrolet Silverado 1500 2Wd,2000,Regular,14.4,19.4,16.2,3310.0,18.3756,0.0,0.0,0.0,Standard Pickup Trucks 2WD,-7050.0,
3578,Chevrolet Silverado 1500 4Wd,2000,Regular,13.4,17.0,15.0,3600.0,19.8694,0.0,0.0,0.0,Standard Pickup Trucks 4WD,-8500.0,
3587,Chevrolet Silverado 2500 2Wd,2000,Regular,12.5,16.5,13.5,4050.0,22.3132,0.0,0.0,0.0,Standard Pickup Trucks 2WD,-10750.0,
3723,Chevrolet Suburban 1500 2Wd,2000,Regular,12.0,17.0,14.0,3850.0,21.2507,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-9750.0,
3737,Chevrolet Suburban 1500 4Wd,2000,Regular,12.0,15.0,13.0,4150.0,22.8854,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-11250.0,
3779,Chevrolet Tahoe 1500 2Wd,2000,Regular,12.75,17.25,14.5,3725.0,20.5424,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-9125.0,
3793,Chevrolet Tahoe 1500 4Wd,2000,Regular,12.33,15.67,13.67,3950.0,21.7956,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-10250.0,
3831,Chevrolet Tracker 2Wd Convertible,2000,Regular,20.67,24.0,22.33,2416.67,13.3622,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-2583.33,
3835,Chevrolet Tracker 2Wd Hardtop,2000,Regular,20.5,23.5,21.5,2500.0,13.8452,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-3000.0,
3840,Chevrolet Tracker 4Wd Convertible,2000,Regular,20.67,23.67,21.67,2483.33,13.7565,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-2916.67,
3844,Chevrolet Tracker 4Wd Hardtop,2000,Regular,20.0,23.0,21.0,2550.0,14.1671,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-3250.0,
3973,Chevrolet Van 1500/2500 2Wd,2000,Regular,12.67,17.0,14.67,3683.33,20.3062,0.0,0.0,0.0,"Vans, Cargo Type",-8916.67,
3991,Chevrolet Venture Fwd,2000,Regular,17.0,24.0,19.0,2850.0,15.6584,0.0,0.0,0.0,Minivan - 2WD,-4750.0,
4042,Chrysler 300 M,2000,Regular,16.0,24.0,19.0,2850.0,15.6584,0.0,0.0,0.0,Large Cars,-4750.0,
4064,Chrysler Cirrus,2000,Regular,16.67,25.0,19.67,2750.0,15.1365,0.0,0.0,0.0,Midsize Cars,-4250.0,
4065,Chrysler Concorde,2000,Regular,17.5,26.0,20.5,2625.0,14.5213,0.0,0.0,0.0,Large Cars,-3625.0,
4079,Chrysler Lhs,2000,Regular,16.0,24.0,19.0,2850.0,15.6584,0.0,0.0,0.0,Large Cars,-4750.0,
4119,Chrysler Sebring,2000,Regular,17.0,25.0,20.0,2700.0,14.8755,0.0,0.0,0.0,Compact Cars,-4000.0,
4136,Chrysler Sebring Convertible,2000,Regular,16.5,24.5,19.5,2775.0,15.267,0.0,0.0,0.0,Compact Cars,-4375.0,
4155,Chrysler Town And Country/Voyager/Grand Voy. 2Wd,2000,Regular,15.67,22.0,18.0,3000.0,16.5283,0.0,0.0,0.0,Minivan - 2WD,-5500.0,FFV
4162,Chrysler Town And Country/Voyager/Grand Voy. Awd,2000,Regular,15.0,21.0,17.0,3150.0,17.5006,0.0,0.0,0.0,Minivan - 4WD,-6250.0,
4177,Daewoo Lanos,2000,Regular,21.75,32.25,25.25,2125.0,11.7955,0.0,0.0,0.0,Compact Cars,-1125.0,
4181,Daewoo Leganza,2000,Regular,18.0,26.5,21.0,2550.0,14.1671,0.0,0.0,0.0,Midsize Cars,-3250.0,
4185,Daewoo Nubira,2000,Regular,19.5,28.0,22.5,2400.0,13.2292,0.0,0.0,0.0,Compact Cars,-2500.0,
4189,Daewoo Nubira Station Wagon,2000,Regular,19.5,28.0,22.5,2400.0,13.2292,0.0,0.0,0.0,Small Station Wagons,-2500.0,
4193,Dodge Avenger,2000,Regular,17.0,25.0,20.0,2700.0,14.8755,0.0,0.0,0.0,Compact Cars,-4000.0,
4202,Dodge B1500 Van 2Wd,2000,Regular,12.0,16.33,13.67,3950.0,21.7956,0.0,0.0,0.0,"Vans, Cargo Type",-10250.0,
4203,Dodge B1500 Wagon 2Wd,2000,Regular,12.5,16.0,14.0,3850.0,21.2507,0.0,0.0,0.0,"Vans, Passenger Type",-9750.0,
4204,Dodge B2500 Van 2Wd,2000,Regular,11.5,17.0,13.5,4000.0,22.068,0.0,0.0,0.0,"Vans, Cargo Type",-10500.0,
4205,Dodge B2500 Wagon 2Wd,2000,Regular,11.0,15.5,12.5,4325.0,23.8389,0.0,0.0,0.0,"Vans, Passenger Type",-12125.0,
4213,Dodge Caravan/Grand Caravan 2Wd,2000,Regular,16.0,22.83,18.83,2875.0,15.8179,0.0,0.0,0.0,Minivan - 2WD,-4875.0,FFV
4222,Dodge Caravan/Grand Caravan Awd,2000,Regular,14.5,21.0,17.0,3150.0,17.5006,0.0,0.0,0.0,Minivan - 4WD,-6250.0,
4323,Dodge Dakota Pickup 2Wd,2000,Regular,14.17,19.33,16.0,3425.0,18.9206,0.0,0.0,0.0,Standard Pickup Trucks 2WD,-7625.0,
4335,Dodge Dakota Pickup 4Wd,2000,Regular,12.8,16.6,13.8,3930.0,21.6757,0.0,0.0,0.0,Standard Pickup Trucks 4WD,-10150.0,
4358,Dodge Durango 2Wd,2000,Regular,12.0,17.0,14.0,3866.67,21.3234,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-9833.33,
4371,Dodge Durango 4Wd,2000,Regular,11.5,16.0,13.0,4175.0,23.0216,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-11375.0,
4423,Dodge Intrepid,2000,Regular,17.25,25.75,20.25,2662.5,14.7171,0.0,0.0,0.0,Large Cars,-3812.5,
4459,Dodge Neon,2000,Regular,23.0,29.5,25.5,2125.0,11.7076,0.0,0.0,0.0,Compact Cars,-1125.0,
4475,Dodge Ram 1500 Pickup 2Wd,2000,Regular,12.4,18.0,14.4,3760.0,20.763,0.0,0.0,0.0,Standard Pickup Trucks 2WD,-9300.0,
4488,Dodge Ram 1500 Pickup 4Wd,2000,Regular,11.33,15.67,13.0,4150.0,22.8854,0.0,0.0,0.0,Standard Pickup Trucks 4WD,-11250.0,
4516,Dodge Stratus,2000,Regular,17.25,25.5,20.25,2675.0,14.7332,0.0,0.0,0.0,Midsize Cars,-3875.0,
4529,Dodge Viper Convertible,2000,Premium,11.0,19.0,14.0,4850.0,21.2507,0.0,0.0,0.0,Two Seaters,-14750.0,
4539,Dodge Viper Coupe,2000,Premium,11.0,19.0,14.0,4850.0,21.2507,0.0,0.0,0.0,Two Seaters,-14750.0,
4547,Ferrari 360 Modena/Spider,2000,Premium,10.0,15.0,11.0,6150.0,27.0464,0.0,0.0,0.0,Two Seaters,-21250.0,
4553,Ferrari 456 Mgt/Mga,2000,Premium,9.0,14.5,11.0,6150.0,27.0464,0.0,0.0,0.0,Subcompact Cars,-21250.0,
4582,Ferrari 550 Maranello,2000,Premium,8.0,12.0,9.0,7550.0,33.0567,0.0,0.0,0.0,Two Seaters,-28250.0,
4738,Ford Contour,2000,Regular,19.0,28.0,22.5,2400.0,13.2925,0.0,0.0,0.0,Compact Cars,-2500.0,
4739,Ford Crown Victoria,2000,Regular,16.0,23.0,18.0,3000.0,16.5283,0.0,0.0,0.0,Large Cars,-5500.0,
4747,Ford Crown Victoria Cng,2000,CNG,14.0,21.0,16.0,2700.0,0.0912,0.0,0.0,0.0,Large Cars,-4000.0,CNG
4756,Ford Crown Victoria Police,2000,Regular,14.0,20.0,16.0,3350.0,18.5944,0.0,0.0,0.0,Large Cars,-7250.0,
4763,Ford E150 Club Wagon,2000,Regular,12.33,16.33,14.0,3866.67,21.3234,0.0,0.0,0.0,"Vans, Passenger Type",-9833.33,
4770,Ford E150 Econoline 2Wd,2000,Regular,13.0,17.67,14.67,3683.33,20.3062,0.0,0.0,0.0,"Vans, Cargo Type",-8916.67,
4786,Ford E250 Econoline 2Wd,2000,Regular,12.0,16.5,13.5,4000.0,22.068,0.0,0.0,0.0,"Vans, Cargo Type",-10500.0,
4792,Ford E250 Econoline 2Wd Cng,2000,CNG,11.0,14.0,12.0,3600.0,0.1216,0.0,0.0,0.0,"Vans, Cargo Type",-8500.0,CNG
4910,Ford Escort,2000,Regular,23.0,31.5,26.5,2025.0,11.2308,0.0,0.0,0.0,Compact Cars,-625.0,
4913,Ford Escort Zx2,2000,Regular,22.0,30.0,25.0,2150.0,11.9004,0.0,0.0,0.0,Subcompact Cars,-1250.0,
4917,Ford Expedition 2Wd,2000,Regular,12.5,17.5,14.0,3875.0,21.3597,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-9875.0,
4942,Ford Expedition 4Wd,2000,Regular,11.5,16.0,13.5,4000.0,22.068,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-10500.0,
4982,Ford Explorer 2Wd,2000,Regular,14.2,18.8,16.0,3380.0,18.677,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-7400.0,FFV
5004,Ford Explorer 4Wd,2000,Regular,14.0,18.5,15.5,3475.0,19.2142,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-7875.0,
5158,Ford F150 Pickup 2Wd,2000,Regular,13.8,18.8,15.6,3450.0,19.0902,0.0,0.0,0.0,Standard Pickup Trucks 2WD,-7750.0,
5182,Ford F150 Pickup 2Wd Cng,2000,CNG,11.0,15.0,13.0,3300.0,0.1123,0.0,0.0,0.0,Standard Pickup Trucks 2WD,-7000.0,CNG
5203,Ford F150 Pickup 4Wd,2000,Regular,13.0,16.8,14.4,3750.0,20.684,0.0,0.0,0.0,Standard Pickup Trucks 4WD,-9250.0,
5321,Ford Focus,2000,Regular,22.75,30.25,25.5,2112.5,11.6896,0.0,0.0,0.0,Compact Cars,-1062.5,
5364,Ford Focus Station Wagon,2000,Regular,22.5,29.5,25.5,2100.0,11.6715,0.0,0.0,0.0,Midsize Station Wagons,-1000.0,
5432,Ford Lightning Pickup 2Wd,2000,Premium,12.0,15.0,13.0,5200.0,22.8854,0.0,0.0,0.0,Standard Pickup Trucks 2WD,-16500.0,
5438,Ford Mustang,2000,Regular,15.5,22.67,18.17,3308.33,16.6464,0.0,0.0,0.0,Subcompact Cars,-7041.67,
5517,Ford Postal Vehicle,2000,Regular,14.0,17.0,15.0,3600.0,19.834,0.0,0.0,0.0,Minivan - 2WD,-8500.0,
5525,Ford Ranger 2Wd Ffv,2000,Gasoline or E85,15.5,20.5,17.5,3075.0,17.0145,0.0,0.0,0.0,Standard Pickup Trucks 2WD,-5875.0,FFV
5539,Ford Ranger 4Wd Ffv,2000,Gasoline or E85,14.5,19.0,16.0,3375.0,18.6673,0.0,0.0,0.0,Standard Pickup Trucks 4WD,-7375.0,FFV
5540,Ford Ranger Pickup 2Wd,2000,Regular,31.5,32.17,31.67,2325.0,10.6341,21.17,18.5,19.67,Standard Pickup Trucks 2WD,-2125.0,EV
5550,Ford Ranger Pickup 4Wd,2000,Regular,14.5,18.0,15.5,3475.0,19.2142,0.0,0.0,0.0,Standard Pickup Trucks 4WD,-7875.0,
5571,Ford Taurus,2000,Regular,17.0,26.0,20.0,2700.0,14.8755,0.0,0.0,0.0,Large Cars,-4000.0,FFV
5618,Ford Taurus Wagon,2000,Regular,17.0,24.67,19.67,2750.0,15.1365,0.0,0.0,0.0,Midsize Station Wagons,-4250.0,FFV
5702,Ford Windstar Fwd Cargo Van,2000,Regular,15.5,21.0,17.5,3075.0,17.0145,0.0,0.0,0.0,Minivan - 2WD,-5875.0,
5706,Ford Windstar Fwd Wagon,2000,Regular,15.0,21.0,17.0,3150.0,17.5006,0.0,0.0,0.0,Minivan - 2WD,-6250.0,
5910,Gmc Jimmy 2Wd,2000,Regular,15.0,20.5,17.5,3075.0,17.0145,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-5875.0,
5915,Gmc Jimmy 4Wd,2000,Regular,13.5,17.0,15.5,3475.0,19.2142,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-7875.0,
5920,Gmc Safari 2Wd (Cargo),2000,Regular,15.0,20.0,17.0,3150.0,17.5006,0.0,0.0,0.0,"Vans, Cargo Type",-6250.0,
5926,Gmc Safari 2Wd (Passenger),2000,Regular,15.0,19.0,16.0,3350.0,18.5944,0.0,0.0,0.0,"Vans, Passenger Type",-7250.0,
5935,Gmc Safari Awd (Cargo),2000,Regular,14.0,18.0,16.0,3350.0,18.5944,0.0,0.0,0.0,"Vans, Cargo Type",-7250.0,
5941,Gmc Safari Awd (Passenger),2000,Regular,13.0,18.0,15.0,3600.0,19.834,0.0,0.0,0.0,"Vans, Passenger Type",-8500.0,
6008,Gmc Savana 1500/2500 2Wd (Cargo),2000,Regular,12.67,16.67,14.67,3683.33,20.3062,0.0,0.0,0.0,"Vans, Cargo Type",-8916.67,
6017,Gmc Savana 1500/2500 2Wd (Passenger),2000,Regular,12.67,16.33,14.0,3850.0,21.2507,0.0,0.0,0.0,"Vans, Passenger Type",-9750.0,
6057,Gmc Sierra 1500 2Wd,2000,Regular,14.4,19.4,16.4,3280.0,18.1812,0.0,0.0,0.0,Standard Pickup Trucks 2WD,-6900.0,
6064,Gmc Sierra 1500 4Wd,2000,Regular,13.4,17.0,15.0,3600.0,19.8694,0.0,0.0,0.0,Standard Pickup Trucks 4WD,-8500.0,
6074,Gmc Sierra 2500 2Wd,2000,Regular,12.5,16.5,13.5,4050.0,22.3132,0.0,0.0,0.0,Standard Pickup Trucks 2WD,-10750.0,
6161,Gmc Sonoma 2Wd,2000,Regular,17.33,23.17,19.67,2775.0,15.3007,0.0,0.0,0.0,Small Pickup Trucks 2WD,-4375.0,
6167,Gmc Sonoma 4Wd,2000,Regular,14.5,19.5,16.5,3250.0,18.0475,0.0,0.0,0.0,Standard Pickup Trucks 4WD,-6750.0,
6202,Gmc Yukon 1500 2Wd,2000,Regular,12.67,17.0,14.33,3766.67,20.7785,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-9333.33,
6216,Gmc Yukon 1500 4Wd,2000,Regular,12.33,15.67,13.67,3950.0,21.7956,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-10250.0,
6277,Gmc Yukon Xl 1500 2Wd,2000,Regular,12.0,17.0,14.0,3850.0,21.2507,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-9750.0,
6291,Gmc Yukon Xl 1500 4Wd,2000,Regular,12.0,15.0,13.0,4150.0,22.8854,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-11250.0,
6325,Honda Accord,2000,Regular,20.0,27.0,22.6,2390.0,13.1914,0.0,0.0,0.0,Midsize Cars,-2450.0,
6364,Honda Civic,2000,Regular,24.4,31.6,27.4,2080.0,10.8961,0.0,0.0,0.0,Subcompact Cars,-900.0,
6406,Honda Civic Cng,2000,CNG,24.0,31.0,27.0,1600.0,0.0541,0.0,0.0,0.0,Subcompact Cars,1500.0,CNG
6422,Honda Civic Hx,2000,Regular,29.5,37.0,32.0,1700.0,9.3063,0.0,0.0,0.0,Subcompact Cars,1000.0,
6436,Honda Cr-V 2Wd,2000,Regular,20.0,23.0,21.0,2550.0,14.1671,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-3250.0,
6453,Honda Cr-V 4Wd,2000,Regular,19.0,23.0,21.0,2550.0,14.1671,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-3250.0,
6545,Honda Odyssey,2000,Regular,16.0,23.0,19.0,2850.0,15.6584,0.0,0.0,0.0,Minivan - 2WD,-4750.0,
6570,Honda Passport 2Wd,2000,Regular,15.0,18.5,16.0,3350.0,18.5944,0.0,0.0,0.0,Sport Utility Vehicle - 2WD,-7250.0,
6573,Honda Passport 4Wd,2000,Regular,14.5,18.5,16.0,3350.0,18.5944,0.0,0.0,0.0,Sport Utility Vehicle - 4WD,-7250.0,
6631,Honda Prelude,2000,Premium,19.5,24.5,21.5,3175.0,13.8452,0.0,0.0,0.0,Subcompact Cars,-6375.0,
6653,Honda S2000,2000,Premium,18.0,23.0,20.0,3400.0,14.8755,0.0,0.0,0.0,Two Seaters,-7500.0,
6689,Hyundai Accent/Brio,2000,Regular,23.5,32.0,27.0,1975.0,11.034,0.0,0.0,0.0,Compact Cars,-375.0,
6710,Hyundai Elantra,2000,Regular,20.0,29.0,23.0,2350.0,12.9597,0.0,0.0,0.0,Compact Cars,-2250.0,
6762,Hyundai Elantra Wagon,2000,Regular,20.0,28.0,23.0,2350.0,12.9597,0.0,0.0,0.0,Small Station Wagons,-2250.0,
6930,Hyundai Sonata,2000,Regular,18.25,26.0,21.0,2562.5,14.1832,0.0,0.0,0.0,Midsize Cars,-3312.5,
6962,Hyundai Tiburon,2000,Regular,20.0,28.5,23.0,2350.0,12.9597,0.0,0.0,0.0,Subcompact Cars,-2250.0,
7093,Infiniti G20,2000,Regular,20.5,28.5,23.5,2300.0,12.6657,0.0,0.0,0.0,Compact Cars,-2000.0,
7133,Infiniti I30,2000,Regular,17.0,25.0,20.0,2700.0,14.8755,0.0,0.0,0.0,Midsize Cars,-4000.0,
7173,Infiniti Q45,2000,Premium,16.0,21.0,18.0,3750.0,16.5283,0.0,0.0,0.0,Midsize Cars,-9250.0,
